103.1.70.66; 103.1.70.66; 5.2999,100.2605; Bayan Lepas; Pulau Pinang; MY
157.55.39.37; msnbot-157-55-39-37.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
198.105.65.197; gateway.steelcase.com; 42.9634,-85.6681; Grand Rapids; Michigan; US
96.36.19.66; 96-36-19-66.static.aldl.mi.charter.com; 38.0000,-97.0000; None; None; US
109.77.9.171; 109.77.9.171; 53.0000,-8.0000; None; None; IE
50.175.40.213; c-50-175-40-213.hsd1.tx.comcast.net; 29.9779,-95.5770; Houston; Texas; US
79.150.42.165; 165.red-79-150-42.dynamicip.rima-tde.net; 41.3996,2.1481; Barcelona; Catalonia; ES
207.242.44.6; firewall2.westernsouthernlife.com; 39.1097,-84.5046; Cincinnati; Ohio; US
8.28.16.254; 8.28.16.254; 38.0000,-97.0000; None; None; US
70.215.49.85; 85.sub-70-215-49.myvzw.com; 38.0000,-97.0000; None; None; US
64.31.72.65; diala-bu-072-065.wcnet.org; 41.6639,-83.5552; Toledo; Ohio; US
136.1.1.113; 136.1.1.113; 42.3684,-83.3527; Livonia; Michigan; US
99.116.156.207; 99-116-156-207.lightspeed.nworla.sbcglobal.net; 30.2712,-89.7705; Slidell; Louisiana; US
66.249.79.105; crawl-66-249-79-105.googlebot.com; 37.4192,-122.0574; Mountain View; California; US
66.249.79.97; crawl-66-249-79-97.googlebot.com; 37.4192,-122.0574; Mountain View; California; US
66.249.79.113; crawl-66-249-79-113.googlebot.com; 37.4192,-122.0574; Mountain View; California; US
101.187.152.221; grs1501595.lnk.telstra.net; -27.0000,133.0000; None; None; AU
59.18.114.162; 59.18.114.162; 37.5700,126.9800; None; None; KR
86.47.126.95; 86.47.126.95; 53.0000,-8.0000; None; None; IE
67.211.114.82; 67.211.114.82; 43.6667,-79.4167; Toronto; Ontario; CA
128.109.1.170; box.surry.k12.nc.us; 36.3786,-80.6300; Dobson; North Carolina; US
208.90.129.99; 208.90.129.99; 44.9444,-93.0933; Saint Paul; Minnesota; US
68.15.197.227; 68.15.197.227; 36.0607,-95.8064; Broken Arrow; Oklahoma; US
50.121.72.4; 50.121.72.4; 41.1306,-85.1289; Fort Wayne; Indiana; US
80.121.103.222; 80-121-103-222.adsl.highway.telekom.at; 46.6103,13.8558; Villach; Karnten; AT
165.161.9.27; bc7.palmbeach.k12.fl.us; 26.7153,-80.0534; West Palm Beach; Florida; US
66.249.65.157; crawl-66-249-65-157.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.153; crawl-66-249-65-153.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.1; crawl-66-249-65-1.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.137; crawl-66-249-65-137.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.129; crawl-66-249-65-129.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.65.133; crawl-66-249-65-133.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.83.113; google-proxy-66-249-83-113.google.com; 37.4192,-122.0574; Mountain View; California; US
73.34.207.204; 73.34.207.204; 38.0000,-97.0000; None; None; US
24.239.193.19; dynamic-acs-24-239-193-19.zoominternet.net; 40.6421,-79.9445; Gibsonia; Pennsylvania; US
24.91.24.67; c-24-91-24-67.hsd1.ct.comcast.net; 43.3230,-72.4700; Springfield; Vermont; US
70.166.234.131; wsip-70-166-234-131.ks.ks.cox.net; 36.1882,-94.2373; Springdale; Arkansas; US
8.225.196.9; 8.225.196.9; 40.6421,-79.9445; Gibsonia; Pennsylvania; US
207.183.179.140; dsl-207-183-179-140.freedom.wy.silverstar.com; 43.7485,-111.0393; Driggs; Idaho; US
149.78.164.16; 149.78.164.16; 31.5000,34.7500; None; None; IL
129.74.118.221; nd-129-74-118-221.nat.nd.edu; 41.7007,-86.2501; Notre Dame; Indiana; US
128.193.8.12; 8-12.ptpg.oregonstate.edu; 44.5642,-123.2790; Corvallis; Oregon; US
216.126.81.227; 216.126.81.227; 43.6858,-79.7602; Brampton; Ontario; CA
80.121.92.80; 80-121-92-80.adsl.highway.telekom.at; 48.5572,13.7781; Oberkappel; Oberosterreich; AT
216.126.81.197; 216.126.81.197; 43.6858,-79.7602; Brampton; Ontario; CA
204.38.47.132; 204.38.47.132; 43.4236,-84.2208; Hemlock; Michigan; US
24.217.89.85; 24-217-89-85.dhcp.stls.mo.charter.com; 38.5647,-90.5357; Ballwin; Missouri; US
186.106.56.74; 186-106-56-74.baf.movistar.cl; -30.0000,-71.0000; None; None; CL
67.190.21.26; c-67-190-21-26.hsd1.co.comcast.net; 39.5811,-104.9570; Littleton; Colorado; US
24.31.136.229; cpe-24-31-136-229.maine.res.rr.com; 44.8635,-68.8402; Bangor; Maine; US
206.219.255.152; parnet.parsons.com; 33.7866,-118.2987; Pasadena; California; US
199.116.169.254; 199.116.169.254; 47.6062,-122.3321; Seattle; Washington; US
64.74.215.60; 64.74.215.60; 33.7516,-84.3915; Atlanta; Georgia; US
66.249.67.153; crawl-66-249-67-153.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.145; crawl-66-249-67-145.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
81.33.19.15; 15.red-81-33-19.staticip.rima-tde.net; 40.8842,-1.5679; Odón; Aragon; ES
193.23.33.123; vpnt.bmw.com; 48.1224,11.5449; Munich; Bayern; DE
99.229.205.182; cpe0c473dd40e61-cm0c473dd40e60.cpe.net.cable.rogers.com; 43.6092,-79.6201; Mississauga; Ontario; CA
192.189.128.14; bc6.cat.com; 40.7774,-89.5749; Peoria; Illinois; US
138.162.0.41; gate1-norfolk.nmci.navy.mil; 36.8468,-76.2852; Norfolk; Virginia; US
76.108.136.81; c-76-108-136-81.hsd1.fl.comcast.net; 26.3483,-80.1585; Boca Raton; Florida; US
138.162.0.43; gate3-norfolk.nmci.navy.mil; 36.8468,-76.2852; Norfolk; Virginia; US
138.162.0.42; gate2-norfolk.nmci.navy.mil; 36.8468,-76.2852; Norfolk; Virginia; US
137.69.117.53; 137.69.117.53; 37.3394,-121.8950; San Jose; California; US
208.100.40.43; ip43.208-100-40.static.steadfastdns.net; 41.8745,-87.6503; Chicago; Illinois; US
65.0.132.141; adsl-65-0-132-141.jan.bellsouth.net; 33.9384,-88.2570; Greenwood Springs; Mississippi; US
66.249.67.25; crawl-66-249-67-25.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.17; crawl-66-249-67-17.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
169.204.230.154; 169.204.230.154; 48.0518,-122.1771; Marysville; Washington; US
99.228.77.90; cpebcc810073b70-cmbcc810073b6d.cpe.net.cable.rogers.com; 43.5581,-79.5738; Mississauga; Ontario; CA
69.58.178.59; 69.58.178.59; 38.9599,-77.3428; Reston; Virginia; US
208.187.180.81; customer.veracitycom.net; 38.0000,-97.0000; None; None; US
66.249.67.108; crawl-66-249-67-108.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.100; crawl-66-249-67-100.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.92; crawl-66-249-67-92.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
184.171.208.124; lns5-pool1-124.adsl.user.start.ca; 42.9793,-81.2556; London; Ontario; CA
174.71.2.192; ip174-71-2-192.om.om.cox.net; 41.2468,-95.7001; Council Bluffs; Iowa; US
50.53.158.146; static-50-53-158-146.bvtn.or.frontiernet.net; 45.3653,-122.7579; Tualatin; Oregon; US
2.246.72.151; x2f64897.dyn.telefonica.de; 51.0000,9.0000; None; None; DE
193.158.185.143; pc19eb98f.dip0.t-ipconnect.de; 50.6000,6.6500; Mechernich; Nordrhein-Westfalen; DE
37.210.176.138; 37.210.176.138; 25.2867,51.5333; Doha; Ad Dawhah; QA
66.249.67.113; crawl-66-249-67-113.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.105; crawl-66-249-67-105.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.97; crawl-66-249-67-97.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.33; crawl-66-249-67-33.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
89.183.50.123; a89-183-50-123.net-htp.de; 52.3586,9.7558; Hanover; Niedersachsen; DE
8.225.196.132; 8.225.196.132; 40.3224,-80.0355; Bethel Park; Pennsylvania; US
70.88.198.102; 70-88-198-102-newengland.hfc.comcastbusiness.net; 42.3117,-71.2722; Wellesley Hills; Massachusetts; US
72.198.8.42; ip72-198-8-42.ok.ok.cox.net; 35.5423,-97.6189; Oklahoma City; Oklahoma; US
66.249.64.189; crawl-66-249-64-189.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.41.192.192; c-66-41-192-192.hsd1.mn.comcast.net; 44.9054,-92.8829; Saint Paul; Minnesota; US
72.160.26.24; 72-160-26-24.dyn.centurytel.net; 48.1987,-114.3857; Kalispell; Montana; US
174.29.73.161; 174-29-73-161.hlrn.qwest.net; 39.7392,-104.9847; Denver; Colorado; US
76.92.66.45; 76.92.66.45; 39.4841,-80.0601; Fairmont; West Virginia; US
24.90.117.218; cpe-24-90-117-218.nyc.res.rr.com; 40.6501,-73.9496; Brooklyn; New York; US
66.249.64.185; crawl-66-249-64-185.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
75.60.233.153; 75-60-233-153.uvs.sndgca.sbcglobal.net; 38.0000,-97.0000; None; None; US
66.249.64.49; crawl-66-249-64-49.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
72.24.143.124; 72-24-143-124.cpe.cableone.net; 46.3690,-117.2288; Clarkston; Washington; US
199.59.243.121; 115.115.93.210.static-pune.tcl.net.in; 40.7391,-73.9826; New York; New York; US
66.249.64.53; crawl-66-249-64-53.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.64.164; crawl-66-249-64-164.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.64.168; crawl-66-249-64-168.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
98.223.236.191; c-98-223-236-191.hsd1.in.comcast.net; 39.0836,-86.4321; Bloomington; Indiana; US
76.226.62.168; adsl-76-226-62-168.dsl.sfldmi.sbcglobal.net; 42.4734,-83.2219; Southfield; Michigan; US
66.249.64.45; crawl-66-249-64-45.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.64.193; crawl-66-249-64-193.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.67.3; crawl-66-249-67-3.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
150.70.173.49; 150-70-173-49.trendmicro.com; 35.6900,139.6900; None; None; JP
4.31.10.254; spark-fun-e.edge3.denver1.level3.net; 40.0153,-105.1076; Lafayette; Colorado; US
82.72.161.232; 5248a1e8.cm-4-1c.dynamic.ziggo.nl; 52.3567,6.6625; Almelo; Overijssel; NL
108.49.139.220; pool-108-49-139-220.bstnma.fios.verizon.net; 42.4574,-71.2178; Lexington; Massachusetts; US
184.96.166.22; 184-96-166-22.hlrn.qwest.net; 39.7392,-104.9847; Denver; Colorado; US
107.138.41.12; 107-138-41-12.lightspeed.sntcca.sbcglobal.net; 37.1931,-121.8364; San Jose; California; US
83.45.2.253; 253.red-83-45-2.dynamicip.rima-tde.net; 36.8337,-2.4483; Almería; Andalucia; ES
100.1.224.71; pool-100-1-224-71.nwrknj.fios.verizon.net; 40.7223,-74.4037; Chatham; New Jersey; US
107.77.90.128; 107.77.90.128; 38.0000,-97.0000; None; None; US
24.53.87.77; dhcp-2c-b0-5d-1e-8e-10.cpe.xcountry.tv; 45.0917,-64.3599; Wolfville; Nova Scotia; CA
24.101.83.172; dynamic-acs-24-101-83-172.zoominternet.net; 38.4130,-82.7257; Ashland; Kentucky; US
184.167.153.108; host-184-167-153-108.csp-wy.client.bresnan.net; 42.8260,-106.3523; Casper; Wyoming; US
67.6.39.89; 67-6-39-89.mpls.qwest.net; 44.9800,-93.2638; Minneapolis; Minnesota; US
75.71.48.98; c-75-71-48-98.hsd1.co.comcast.net; 38.9584,-104.7573; Colorado Springs; Colorado; US
50.161.254.158; c-50-161-254-158.hsd1.ca.comcast.net; 38.6027,-121.2687; Rancho Cordova; California; US
108.45.77.79; pool-108-45-77-79.washdc.fios.verizon.net; 38.6780,-77.3197; Woodbridge; Virginia; US
66.249.69.121; crawl-66-249-69-121.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.69.105; crawl-66-249-69-105.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
74.98.225.194; pool-74-98-225-194.pitbpa.fios.verizon.net; 40.5465,-80.0525; Pittsburgh; Pennsylvania; US
96.255.230.133; pool-96-255-230-133.washdc.fios.verizon.net; 38.9995,-77.5286; Ashburn; Virginia; US
84.136.142.130; p54888e82.dip0.t-ipconnect.de; 52.2738,8.0521; Osnabrück; Niedersachsen; DE
66.249.69.137; crawl-66-249-69-137.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
66.249.69.145; crawl-66-249-69-145.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
87.147.19.243; p579313f3.dip0.t-ipconnect.de; 51.4340,7.0161; Essen; Nordrhein-Westfalen; DE
173.60.255.37; pool-173-60-255-37.lsanca.fios.verizon.net; 33.6848,-117.3724; Lake Elsinore; California; US
216.40.84.169; 216.40.84.169; 39.1748,-77.5326; Leesburg; Virginia; US
66.249.69.161; crawl-66-249-69-161.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
24.96.4.66; user-24-96-4-66.knology.net; 34.7135,-86.7421; Madison; Alabama; US
72.37.244.172; 1743ob.scansafe.net; 45.5234,-122.6762; None; Oregon; US
166.137.88.37; akrmspsrvz3ts323-dmz.mycingular.net; 38.8951,-77.0364; Washington; District of Columbia; US
66.249.69.97; crawl-66-249-69-97.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
76.18.242.153; c-76-18-242-153.hsd1.fl.comcast.net; 30.1945,-81.6006; Jacksonville; Florida; US
71.253.125.136; pool-71-253-125-136.eriepa.dsl-w.verizon.net; 42.1781,-79.8417; North East; Pennsylvania; US
107.138.156.33; 107-138-156-33.lightspeed.rlghnc.sbcglobal.net; 35.7114,-78.8862; Apex; North Carolina; US
96.230.23.180; pool-96-230-23-180.bstnma.fios.verizon.net; 42.2658,-71.6105; Westborough; Massachusetts; US
66.249.69.113; crawl-66-249-69-113.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
58.167.175.237; cpe-58-167-175-237.lnse4.cha.bigpond.net.au; -27.4710,153.0243; Brisbane; Queensland; AU
98.254.38.248; c-98-254-38-248.hsd1.fl.comcast.net; 26.7063,-80.2072; West Palm Beach; Florida; US
75.167.82.10; 75-167-82-10.desm.qwest.net; 41.5720,-93.7453; West Des Moines; Iowa; US
99.37.201.109; 99-37-201-109.lightspeed.dllstx.sbcglobal.net; 32.9722,-96.7376; Richardson; Texas; US
173.174.137.131; cpe-173-174-137-131.satx.res.rr.com; 29.5834,-98.3994; San Antonio; Texas; US
50.53.35.223; static-50-53-35-223.bvtn.or.frontiernet.net; 45.5222,-122.8593; Beaverton; Oregon; US
24.192.13.149; d192-24-149-13.try.wideopenwest.com; 42.3291,-83.4877; Canton; Michigan; US
124.183.72.155; cpe-124-183-72-155.lns13.ken.bigpond.net.au; -33.7000,151.0000; Glenhaven; New South Wales; AU
198.175.154.212; us194px00-pat.tycoelectronics.com; 40.2737,-76.8844; Harrisburg; Pennsylvania; US
84.228.132.169; igld-84-228-132-169.inter.net.il; 32.0667,34.7667; Tel Aviv; Tel Aviv; IL
99.151.0.16; 99-151-0-16.lightspeed.snrmca.sbcglobal.net; 37.7186,-121.9164; Dublin; California; US
70.88.243.73; connect.divtecs.com; 42.4184,-71.1062; Medford; Massachusetts; US
204.128.4.5; 204.128.4.5; 39.5675,-79.9363; Morgantown; West Virginia; US
172.9.168.164; 172-9-168-164.lightspeed.hstntx.sbcglobal.net; 29.5142,-95.1903; Friendswood; Texas; US
24.131.129.85; c-24-131-129-85.hsd1.mn.comcast.net; 45.0648,-92.8473; Stillwater; Minnesota; US
71.11.71.55; blk-11-71-55.eastlink.ca; 43.3740,-124.1477; Coos Bay; Oregon; US
50.196.255.141; 50-196-255-141-static.hfc.comcastbusiness.net; 41.9792,-88.0895; Roselle; Illinois; US
128.158.1.164; 128.158.1.164; 34.6685,-86.5576; Huntsville; Alabama; US
173.75.2.16; pool-173-75-2-16.pitbpa.fios.verizon.net; 40.2713,-80.1702; Canonsburg; Pennsylvania; US
66.249.69.129; crawl-66-249-69-129.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
88.159.78.243; 243-78-ftth.on.nl; 51.4408,5.4778; Eindhoven; Noord-Brabant; NL
159.63.2.158; 159.63.2.158; 39.9612,-82.9988; Columbus; Ohio; US
208.94.43.52; 208.94.43.52; 40.3356,-79.5507; Greensburg; Pennsylvania; US
71.95.111.62; 71-95-111-62.dhcp.knwc.wa.charter.com; 45.6119,-121.5866; Hood River; Oregon; US
98.111.252.95; pool-98-111-252-95.pitbpa.fios.verizon.net; 40.3224,-80.0355; Bethel Park; Pennsylvania; US
71.162.2.62; pool-71-162-2-62.pitbpa.fios.verizon.net; 40.4067,-80.1108; Carnegie; Pennsylvania; US
50.153.161.8; 50.153.161.8; 33.7490,-84.3880; Atlanta; Georgia; US
50.187.92.216; c-50-187-92-216.hsd1.vt.comcast.net; 43.6445,-72.9005; Rutland; Vermont; US
76.164.60.100; 76.164.60.100; 44.6742,-93.4103; Prior Lake; Minnesota; US
24.98.99.88; c-24-98-99-88.hsd1.ga.comcast.net; 33.7490,-84.3880; Atlanta; Georgia; US
24.34.164.220; c-24-34-164-220.hsd1.ma.comcast.net; 42.1696,-71.0606; Randolph; Massachusetts; US
199.204.83.230; 199-204-83-230.lfytina2.metronetinc.net; 40.4763,-86.9571; West Lafayette; Indiana; US
68.2.98.139; ip68-2-98-139.ph.ph.cox.net; 33.4223,-111.8226; Mesa; Arizona; US
220.181.126.4; 220.181.126.4; 39.9289,116.3883; Beijing; Beijing; CN
76.5.66.215; va-76-5-66-215.dhcp.embarqhsd.net; 37.8076,-78.6842; Schuyler; Virginia; US
212.235.98.140; nvout2-140.iai.co.il; 31.5000,34.7500; None; None; IL
199.19.249.196; 199.19.249.196; 37.3688,-122.0363; Sunnyvale; California; US
213.130.112.197; 213.130.112.197; 25.2867,51.5333; Doha; Ad Dawhah; QA
213.8.52.148; 213.8.52.148; 32.0667,34.7667; Tel Aviv; Tel Aviv; IL
66.249.69.233; crawl-66-249-69-233.googlebot.com; 37.3860,-122.0838; Mountain View; California; US
80.126.176.82; a80-126-176-82.adsl.xs4all.nl; 52.5000,5.7500; None; None; NL
24.179.7.51; 24-179-7-51.static.leds.al.charter.com; 33.3151,-86.7560; Pelham; Alabama; US
199.72.185.82; 199.72.185.82; 43.1005,-77.4260; Fairport; New York; US
174.76.243.34; wsip-174-76-243-34.no.no.cox.net; 29.8180,-89.6325; Chandeleur Islands; Louisiana; US
65.60.172.250; d60-250-172.col.wideopenwest.com; 40.1018,-83.0730; Columbus; Ohio; US
75.166.49.185; 75-166-49-185.hlrn.qwest.net; 38.0000,-97.0000; None; None; US
72.195.158.213; ip72-195-158-213.ri.ri.cox.net; 41.9171,-71.4423; Lincoln; Rhode Island; US
64.1.53.34; 64.1.53.34.ptr.us.xo.net; 33.7490,-84.3880; Atlanta; Georgia; US
75.174.57.70; 75-174-57-70.bois.qwest.net; 42.4199,-114.5915; Twin Falls; Idaho; US
93.173.16.103; 93-173-16-103.bb.netvision.net.il; 32.0667,34.7667; Tel Aviv; Tel Aviv; IL
129.116.232.124; begpc43.beg.utexas.edu; 30.2961,-97.7369; Austin; Texas; US
207.70.182.194; sacred-heart-main-internet.consolidated.net; 30.3217,-95.5242; Conroe; Texas; US
99.229.123.1; cpe7cb21b1a4a76-cm7cb21b1a4a73.cpe.net.cable.rogers.com; 43.5892,-79.7239; Mississauga; Ontario; CA
128.252.20.193; admin998.cec.wustl.edu; 38.6657,-90.3231; Saint Louis; Missouri; US
204.10.252.226; 204.10.252.226; 40.6265,-106.9272; Steamboat Springs; Colorado; US
108.55.71.28; 108.55.71.28; 40.2737,-76.8844; Harrisburg; Pennsylvania; US
119.253.32.1; 119.253.32.1; 39.5097,116.6947; Langfang; Hebei; CN
107.10.250.218; cpe-107-10-250-218.neo.res.rr.com; 39.8686,-86.1003; Indianapolis; Indiana; US
173.22.4.252; 173-22-4-252.client.mchsi.com; 41.6727,-93.5722; Des Moines; Iowa; US
174.107.155.66; cpe-174-107-155-066.sc.res.rr.com; 33.5603,-79.0441; Murrells Inlet; South Carolina; US
220.181.126.28; 220.181.126.28; 39.9289,116.3883; Beijing; Beijing; CN
220.181.126.42; 220.181.126.42; 39.9289,116.3883; Beijing; Beijing; CN
220.181.126.30; 220.181.126.30; 39.9289,116.3883; Beijing; Beijing; CN
98.20.183.181; h181.183.20.98.dynamic.ip.windstream.net; 35.0986,-92.2175; Vilonia; Arkansas; US
24.60.52.38; c-24-60-52-38.hsd1.ct.comcast.net; 41.3158,-73.1354; Shelton; Connecticut; US
76.217.165.245; 76-217-165-245.lightspeed.irvnca.sbcglobal.net; 34.3759,-118.6162; Stevenson Ranch; California; US
85.64.254.232; 85.64.254.232.dynamic.barak-online.net; 32.1750,34.9069; Kefár Saba; HaMerkaz; IL
208.91.96.4; 208.91.96.4; 30.5331,-96.0002; Anderson; Texas; US
98.138.140.92; h011.llfs.ne1.yahoo.com; 37.4249,-122.0074; Sunnyvale; California; US
153.65.16.10; nat10.teradata.com; 39.6182,-84.2488; Miamisburg; Ohio; US
76.18.231.27; c-76-18-231-27.hsd1.fl.comcast.net; 30.2908,-81.6330; Jacksonville; Florida; US
129.42.208.182; bi-02pt1.bluebird.ibm.com; 35.2271,-80.8431; None; North Carolina; US
80.98.48.141; catv-80-98-48-141.catv.broadband.hu; 47.5000,19.0833; Budapest; Budapest; HU
173.247.174.166; 173-247-174-166.static-ip.telepacific.net; 33.7584,-118.3163; Rancho Palos Verdes; California; US
73.169.54.100; c-73-169-54-100.hsd1.co.comcast.net; 38.0000,-97.0000; None; None; US
24.126.228.131; c-24-126-228-131.hsd1.ga.comcast.net; 33.9846,-83.6978; Winder; Georgia; US
107.1.124.32; 107-1-124-32-ip-static.hfc.comcastbusiness.net; 38.0000,-97.0000; None; None; US
176.219.175.149; 176.219.175.149; 40.7806,30.4033; Sakarya; Sakarya; TR
70.194.241.113; 113.sub-70-194-241.myvzw.com; 38.0000,-97.0000; None; None; US
166.137.244.93; mobile-166-137-244-093.mycingular.net; 38.0000,-97.0000; None; None; US
68.255.255.45; adsl-68-255-255-45.dsl.bcvloh.ameritech.net; 41.4995,-81.6954; Cleveland; Ohio; US
84.95.226.188; 84.95.226.188.forward.012.net.il; 31.5000,34.7500; None; None; IL
173.78.42.218; pool-173-78-42-218.tampfl.fios.verizon.net; 28.0898,-82.5760; Tampa; Florida; US
5.47.90.35; 5.47.90.35; 38.4127,27.1384; Izmir; Izmir; TR
88.10.15.153; 153.red-88-10-15.dynamicip.rima-tde.net; 41.3818,2.1685; Barcelona; Catalonia; ES
207.46.13.140; msnbot-207-46-13-140.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
207.46.13.114; msnbot-207-46-13-114.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
157.55.39.118; msnbot-157-55-39-118.search.msn.com; 47.6801,-122.1206; Redmond; Washington; US
72.11.87.171; mail.imerjent.com; 45.3234,-122.9820; Newberg; Oregon; US
54.87.160.16; ec2-54-87-160-16.compute-1.amazonaws.com; 39.0437,-77.4875; Ashburn; Virginia; US
71.179.232.179; pool-71-179-232-179.bltmmd.fios.verizon.net; 39.2018,-76.9310; Clarksville; Maryland; US
24.9.66.148; c-24-9-66-148.hsd1.co.comcast.net; 39.7294,-104.8319; Aurora; Colorado; US
173.60.97.170; pool-173-60-97-170.lsanca.fios.verizon.net; 33.5363,-117.0439; Temecula; California; US
71.68.235.25; cpe-071-068-235-025.sc.res.rr.com; 33.6359,-79.0280; Myrtle Beach; South Carolina; US
